Proposal_Number,Grant_Number,Field_of_Science,Field_of_Science_Division,Field_of_Science_Directorate,Project_Type,Transaction_Type,Start_Date,End_Date
MCB140056,MCB140056,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,1/21/2014,1/20/2015
MCB150014,MCB150014,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Research,new,4/1/2015,3/31/2016
MCB150014,MCB150014,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2017,12/31/2017
TRA130031,TRA130031,Training,Training,Other,Campus Champions,new,8/23/2013,8/22/2014
TRA150029,TRA150029,Training,Training,Other,Campus Champions,new,11/5/2015,11/4/2016
TRA150029,TRA150029,Training,Training,Other,Campus Champions,renewal,1/5/2017,1/4/2018
MCB140158,MCB140158,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,4/30/2014,4/29/2015
SBR150001,SBR150001,Small Business Innovation Research,Small Business Innovation Research,Other,Startup,new,6/3/2015,6/2/2016
MSS160018,MSS160018,Mechanics and Materials,Mechanical and Structural Systems,Engineering,Research,new,8/15/2016,9/30/2016
DMR170014,DMR170014,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,1/30/2017,3/31/2017
MSS170018,MSS170018,Mechanics and Materials,Mechanical and Structural Systems,Engineering,Research,new,5/19/2017,6/30/2017
SBR150001,SBR150001,Small Business Innovation Research,Small Business Innovation Research,Other,Startup,renewal,9/18/2017,9/17/2018
DMR180017,DMR180017,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,4/1/2018,3/31/2019
AST040008,AST060016N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,new,4/1/2006,3/31/2007
AST040008,AST040009N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2006,3/31/2007
MCB070032,MCB070023N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,1/30/2007,1/31/2008
AST040008,AST060016N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
AST040008,AST040009N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
AST040008,AST040009N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,MRAC,renewal,10/1/2008,3/31/2009
AST040008,AST040009N,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,renewal,4/1/2009,3/31/2010
AST040008,AST040009N,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,renewal,4/1/2010,3/31/2011
AST040008,AST040009N,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,10/1/2011,9/30/2012
AST040008,AST040009N,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,4/1/2013,3/31/2014
AST040008,AST040009N,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,renewal,4/1/2014,3/31/2015
AST040008,AST040009N,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,4/1/2015,3/31/2016
AST040008,AST040009N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,5/6/2016,6/30/2016
AST040008,AST040009N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2016,6/30/2017
AST040008,AST040009N,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,7/1/2017,6/30/2018
CHE050022,CHE050040N,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,,renewal,4/11/2006,4/30/2007
CHE050022,CHE050040N,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,,renewal,10/24/2007,10/31/2008
MCB100078,MCB100078,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,2/17/2010,2/17/2011
MCB100078,MCB100078,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,9/2/2010,9/2/2011
MCB110017,MCB110017,Molecular Biosciences,Molecular Biosciences,Biological Sciences,TRAC,new,1/1/2011,12/31/2011
